producto;color;msg
251-DIDOA;ARGAN OIL;0.0 productes de 806 a 857
251-DIDOA;ARGAN OIL;4.0 productes de 845 a 857
251-DIDOA;ARGAN OIL;Emisor 845 acceptat
251-DIDOA;ARGAN OIL;4.0 productes de 840 a 857
251-DIDOA;ARGAN OIL;Emisor 840 rebutjat. Supera cobertura máxima
251-DIDOA;ARGAN OIL;0.0 productes de 2020 a 857
251-DIDOA;ARGAN OIL;0.0 productes de 806 a 801
251-DIDOA;ARGAN OIL;4.0 productes de 840 a 801
251-DIDOA;ARGAN OIL;Emisor 840 rebutjat. Supera cobertura máxima
251-DIDOA;ARGAN OIL;0.0 productes de 845 a 801
251-DIDOA;ARGAN OIL;0.0 productes de 2020 a 801
251-DIDOA;ARGAN OIL;Receptor 801 sin posibilidad de enviarle stock
251-DIDOA;ARGAN OIL;4.0 productes de 840 a 2094
251-DIDOA;ARGAN OIL;Emisor 840 acceptat
251-DIDOA;ARGAN OIL;0.0 productes de 845 a 2094
251-DIDOA;ARGAN OIL;0.0 productes de 806 a 2094
251-DIDOA;ARGAN OIL;0.0 productes de 2020 a 2094
251-DIDOA;ARGAN OIL;0.0 productes de 806 a 869
251-DIDOA;ARGAN OIL;0.0 productes de 840 a 869
251-DIDOA;ARGAN OIL;0.0 productes de 845 a 869
251-DIDOA;ARGAN OIL;0.0 productes de 2020 a 869
251-DIDOA;ARGAN OIL;Receptor 869 sin posibilidad de enviarle stock
261-RANITA;MULTICO;INICIO EVALUACIÓN
261-RANITA;MULTICO;Producto estancado
261-RSAMYA;NOIR;INICIO EVALUACIÓN
261-RSAMYA;NOIR;6 pares generados
261-RSAMYA;NOIR;3.0 productes de 857 a 806
261-RSAMYA;NOIR;Emisor 857 acceptat
261-RSAMYA;NOIR;0.0 productes de 857 a 840
261-RSAMYA;NOIR;Receptor 840 sin posibilidad de enviarle stock
261-RSAMYA;NOIR;0.0 productes de 857 a 832
261-RSAMYA;NOIR;Receptor 832 sin posibilidad de enviarle stock
261-RSAMYA;NOIR;0.0 productes de 857 a 869
261-RSAMYA;NOIR;Receptor 869 sin posibilidad de enviarle stock
261-RSAMYA;NOIR;0.0 productes de 857 a 801
261-RSAMYA;NOIR;Receptor 801 sin posibilidad de enviarle stock
261-RSAMYA;NOIR;0.0 productes de 857 a 803
261-RSAMYA;NOIR;Receptor 803 sin posibilidad de enviarle stock
261-DPALM;OFF WHITE M;INICIO EVALUACIÓN
261-DPALM;OFF WHITE M;11 pares generados
261-DPALM;OFF WHITE M;3.0 productes de 805 a 845
261-DPALM;OFF WHITE M;Emisor 805 acceptat
261-DPALM;OFF WHITE M;0.0 productes de 805 a 806
261-DPALM;OFF WHITE M;Receptor 806 sin posibilidad de enviarle stock
261-DPALM;OFF WHITE M;0.0 productes de 805 a 803
261-DPALM;OFF WHITE M;Receptor 803 sin posibilidad de enviarle stock
261-DPALM;OFF WHITE M;0.0 productes de 805 a 840
261-DPALM;OFF WHITE M;Receptor 840 sin posibilidad de enviarle stock
261-DPALM;OFF WHITE M;0.0 productes de 805 a 2094
261-DPALM;OFF WHITE M;Receptor 2094 sin posibilidad de enviarle stock
261-DPALM;OFF WHITE M;0.0 productes de 805 a 869
261-DPALM;OFF WHITE M;Receptor 869 sin posibilidad de enviarle stock
261-DPALM;OFF WHITE M;0.0 productes de 805 a 2020
261-DPALM;OFF WHITE M;Receptor 2020 sin posibilidad de enviarle stock
261-DPALM;OFF WHITE M;0.0 productes de 805 a 832
261-DPALM;OFF WHITE M;Receptor 832 sin posibilidad de enviarle stock
261-DPALM;OFF WHITE M;0.0 productes de 805 a 801
261-DPALM;OFF WHITE M;Receptor 801 sin posibilidad de enviarle stock
261-DPALM;OFF WHITE M;0.0 productes de 805 a 1782
261-DPALM;OFF WHITE M;Receptor 1782 sin posibilidad de enviarle stock
261-DPALM;OFF WHITE M;0.0 productes de 805 a 857
261-DPALM;OFF WHITE M;Receptor 857 sin posibilidad de enviarle stock
261-BRUNI;MULTICO;INICIO EVALUACIÓN
261-BRUNI;MULTICO;10 pares generados
261-BRUNI;MULTICO;7.0 productes de 803 a 801
261-BRUNI;MULTICO;Emisor 803 acceptat
261-BRUNI;MULTICO;0.0 productes de 803 a 2020
261-BRUNI;MULTICO;Receptor 2020 sin posibilidad de enviarle stock
261-BRUNI;MULTICO;0.0 productes de 803 a 840
261-BRUNI;MULTICO;Receptor 840 sin posibilidad de enviarle stock
261-BRUNI;MULTICO;0.0 productes de 803 a 805
261-BRUNI;MULTICO;Receptor 805 sin posibilidad de enviarle stock
261-BRUNI;MULTICO;0.0 productes de 803 a 869
261-BRUNI;MULTICO;Receptor 869 sin posibilidad de enviarle stock
261-BRUNI;MULTICO;0.0 productes de 803 a 857
261-BRUNI;MULTICO;Receptor 857 sin posibilidad de enviarle stock
261-BRUNI;MULTICO;0.0 productes de 803 a 1782
261-BRUNI;MULTICO;Receptor 1782 sin posibilidad de enviarle stock
261-BRUNI;MULTICO;0.0 productes de 803 a 2094
261-BRUNI;MULTICO;Receptor 2094 sin posibilidad de enviarle stock
261-BRUNI;MULTICO;0.0 productes de 803 a 806
261-BRUNI;MULTICO;Receptor 806 sin posibilidad de enviarle stock
261-BRUNI;MULTICO;0.0 productes de 803 a 832
261-BRUNI;MULTICO;Receptor 832 sin posibilidad de enviarle stock
261-DGRAOU;OFF WHITE M;INICIO EVALUACIÓN
261-DGRAOU;OFF WHITE M;11 pares generados
261-DGRAOU;OFF WHITE M;4.0 productes de 840 a 845
261-DGRAOU;OFF WHITE M;Emisor 840 acceptat
261-DGRAOU;OFF WHITE M;Cobertura máxima assolida per receptor 845
261-DGRAOU;OFF WHITE M;0.0 productes de 840 a 857
261-DGRAOU;OFF WHITE M;Receptor 857 sin posibilidad de enviarle stock
261-DGRAOU;OFF WHITE M;0.0 productes de 840 a 832
261-DGRAOU;OFF WHITE M;Receptor 832 sin posibilidad de enviarle stock
261-DGRAOU;OFF WHITE M;0.0 productes de 840 a 2020
261-DGRAOU;OFF WHITE M;Receptor 2020 sin posibilidad de enviarle stock
261-DGRAOU;OFF WHITE M;0.0 productes de 840 a 806
261-DGRAOU;OFF WHITE M;Receptor 806 sin posibilidad de enviarle stock
261-DGRAOU;OFF WHITE M;0.0 productes de 840 a 869
261-DGRAOU;OFF WHITE M;Receptor 869 sin posibilidad de enviarle stock
261-DGRAOU;OFF WHITE M;0.0 productes de 840 a 2094
261-DGRAOU;OFF WHITE M;Receptor 2094 sin posibilidad de enviarle stock
261-DGRAOU;OFF WHITE M;0.0 productes de 840 a 805
261-DGRAOU;OFF WHITE M;Receptor 805 sin posibilidad de enviarle stock
261-DGRAOU;OFF WHITE M;0.0 productes de 840 a 1782
261-DGRAOU;OFF WHITE M;Receptor 1782 sin posibilidad de enviarle stock
261-DGRAOU;OFF WHITE M;0.0 productes de 840 a 801
261-DGRAOU;OFF WHITE M;Receptor 801 sin posibilidad de enviarle stock
261-DGRAOU;OFF WHITE M;0.0 productes de 840 a 803
261-DGRAOU;OFF WHITE M;Receptor 803 sin posibilidad de enviarle stock
241-ROSVAL;TEABERRY;INICIO EVALUACIÓN
241-ROSVAL;TEABERRY;Producto estancado
241-ROSLI;MAGMA M;INICIO EVALUACIÓN
241-ROSLI;MAGMA M;Producto estancado
251-RDOLSI;MULTICO;INICIO EVALUACIÓN
251-RDOLSI;MULTICO;11 pares generados
251-RDOLSI;MULTICO;6.0 productes de 840 a 806
251-RDOLSI;MULTICO;Emisor 840 acceptat
251-RDOLSI;MULTICO;0.0 productes de 840 a 801
251-RDOLSI;MULTICO;Receptor 801 sin posibilidad de enviarle stock
251-RDOLSI;MULTICO;0.0 productes de 840 a 857
251-RDOLSI;MULTICO;Receptor 857 sin posibilidad de enviarle stock
251-RDOLSI;MULTICO;0.0 productes de 840 a 832
251-RDOLSI;MULTICO;Receptor 832 sin posibilidad de enviarle stock
251-RDOLSI;MULTICO;0.0 productes de 840 a 845
251-RDOLSI;MULTICO;Receptor 845 sin posibilidad de enviarle stock
251-RDOLSI;MULTICO;0.0 productes de 840 a 803
251-RDOLSI;MULTICO;Receptor 803 sin posibilidad de enviarle stock
251-RDOLSI;MULTICO;0.0 productes de 840 a 2094
251-RDOLSI;MULTICO;Receptor 2094 sin posibilidad de enviarle stock
251-RDOLSI;MULTICO;0.0 productes de 840 a 805
251-RDOLSI;MULTICO;Receptor 805 sin posibilidad de enviarle stock
251-RDOLSI;MULTICO;0.0 productes de 840 a 869
251-RDOLSI;MULTICO;Receptor 869 sin posibilidad de enviarle stock
251-RDOLSI;MULTICO;0.0 productes de 840 a 1782
251-RDOLSI;MULTICO;Receptor 1782 sin posibilidad de enviarle stock
251-RDOLSI;MULTICO;0.0 productes de 840 a 2020
251-RDOLSI;MULTICO;Receptor 2020 sin posibilidad de enviarle stock
261-DROSE;OFF WHITE M;INICIO EVALUACIÓN
261-DROSE;OFF WHITE M;11 pares generados
261-DROSE;OFF WHITE M;4.0 productes de 2020 a 801
261-DROSE;OFF WHITE M;Emisor 2020 acceptat
261-DROSE;OFF WHITE M;0.0 productes de 2020 a 806
261-DROSE;OFF WHITE M;Receptor 806 sin posibilidad de enviarle stock
261-DROSE;OFF WHITE M;0.0 productes de 2020 a 803
261-DROSE;OFF WHITE M;Receptor 803 sin posibilidad de enviarle stock
261-DROSE;OFF WHITE M;0.0 productes de 2020 a 805
261-DROSE;OFF WHITE M;Receptor 805 sin posibilidad de enviarle stock
261-DROSE;OFF WHITE M;0.0 productes de 2020 a 832
261-DROSE;OFF WHITE M;Receptor 832 sin posibilidad de enviarle stock
261-DROSE;OFF WHITE M;0.0 productes de 2020 a 869
261-DROSE;OFF WHITE M;Receptor 869 sin posibilidad de enviarle stock
261-DROSE;OFF WHITE M;0.0 productes de 2020 a 1782
261-DROSE;OFF WHITE M;Receptor 1782 sin posibilidad de enviarle stock
261-DROSE;OFF WHITE M;0.0 productes de 2020 a 2094
261-DROSE;OFF WHITE M;Receptor 2094 sin posibilidad de enviarle stock
261-DROSE;OFF WHITE M;0.0 productes de 2020 a 845
261-DROSE;OFF WHITE M;Receptor 845 sin posibilidad de enviarle stock
261-DROSE;OFF WHITE M;0.0 productes de 2020 a 840
261-DROSE;OFF WHITE M;Receptor 840 sin posibilidad de enviarle stock
261-DROSE;OFF WHITE M;0.0 productes de 2020 a 857
261-DROSE;OFF WHITE M;Receptor 857 sin posibilidad de enviarle stock
261-DRED;MAGMA M;INICIO EVALUACIÓN
261-DRED;MAGMA M;20 pares generados
261-DRED;MAGMA M;2.0 productes de 805 a 801
261-DRED;MAGMA M;Emisor 805 acceptat
261-DRED;MAGMA M;2.0 productes de 2094 a 801
261-DRED;MAGMA M;Emisor 2094 acceptat
261-DRED;MAGMA M;0.0 productes de 805 a 832
261-DRED;MAGMA M;0.0 productes de 2094 a 832
261-DRED;MAGMA M;Receptor 832 sin posibilidad de enviarle stock
261-DRED;MAGMA M;0.0 productes de 805 a 869
261-DRED;MAGMA M;0.0 productes de 2094 a 869
261-DRED;MAGMA M;Receptor 869 sin posibilidad de enviarle stock
261-DRED;MAGMA M;0.0 productes de 2094 a 845
261-DRED;MAGMA M;0.0 productes de 805 a 845
261-DRED;MAGMA M;Receptor 845 sin posibilidad de enviarle stock
261-DRED;MAGMA M;0.0 productes de 805 a 857
261-DRED;MAGMA M;0.0 productes de 2094 a 857
261-DRED;MAGMA M;Receptor 857 sin posibilidad de enviarle stock
261-DRED;MAGMA M;0.0 productes de 2094 a 840
261-DRED;MAGMA M;0.0 productes de 805 a 840
261-DRED;MAGMA M;Receptor 840 sin posibilidad de enviarle stock
261-DRED;MAGMA M;0.0 productes de 805 a 1782
261-DRED;MAGMA M;0.0 productes de 2094 a 1782
261-DRED;MAGMA M;Receptor 1782 sin posibilidad de enviarle stock
261-DRED;MAGMA M;0.0 productes de 805 a 2020
261-DRED;MAGMA M;0.0 productes de 2094 a 2020
261-DRED;MAGMA M;Receptor 2020 sin posibilidad de enviarle stock
261-DRED;MAGMA M;0.0 productes de 805 a 806
261-DRED;MAGMA M;0.0 productes de 2094 a 806
261-DRED;MAGMA M;Receptor 806 sin posibilidad de enviarle stock
261-DRED;MAGMA M;0.0 productes de 805 a 803
261-DRED;MAGMA M;0.0 productes de 2094 a 803
261-DRED;MAGMA M;Receptor 803 sin posibilidad de enviarle stock
261-DEFI;BUTTER M;INICIO EVALUACIÓN
261-DEFI;BUTTER M;10 pares generados
261-DEFI;BUTTER M;3.0 productes de 845 a 869
261-DEFI;BUTTER M;Emisor 845 acceptat
261-DEFI;BUTTER M;0.0 productes de 845 a 806
261-DEFI;BUTTER M;Receptor 806 sin posibilidad de enviarle stock
261-DEFI;BUTTER M;0.0 productes de 845 a 832
261-DEFI;BUTTER M;Receptor 832 sin posibilidad de enviarle stock
261-DEFI;BUTTER M;0.0 productes de 845 a 803
261-DEFI;BUTTER M;Receptor 803 sin posibilidad de enviarle stock
261-DEFI;BUTTER M;0.0 productes de 845 a 1782
261-DEFI;BUTTER M;Receptor 1782 sin posibilidad de enviarle stock
261-DEFI;BUTTER M;0.0 productes de 845 a 840
261-DEFI;BUTTER M;Receptor 840 sin posibilidad de enviarle stock
261-DEFI;BUTTER M;0.0 productes de 845 a 2094
261-DEFI;BUTTER M;Receptor 2094 sin posibilidad de enviarle stock
261-DEFI;BUTTER M;0.0 productes de 845 a 805
261-DEFI;BUTTER M;Receptor 805 sin posibilidad de enviarle stock
261-DEFI;BUTTER M;0.0 productes de 845 a 2020
261-DEFI;BUTTER M;Receptor 2020 sin posibilidad de enviarle stock
261-DEFI;BUTTER M;0.0 productes de 845 a 857
261-DEFI;BUTTER M;Receptor 857 sin posibilidad de enviarle stock
251-RCOCO.F;PRAIRIE M;INICIO EVALUACIÓN
251-RCOCO.F;PRAIRIE M;18 pares generados
251-RCOCO.F;PRAIRIE M;6.0 productes de 845 a 803
251-RCOCO.F;PRAIRIE M;Emisor 845 acceptat
251-RCOCO.F;PRAIRIE M;5.0 productes de 1782 a 803
251-RCOCO.F;PRAIRIE M;Emisor 1782 acceptat
251-RCOCO.F;PRAIRIE M;0.0 productes de 845 a 801
251-RCOCO.F;PRAIRIE M;0.0 productes de 1782 a 801
251-RCOCO.F;PRAIRIE M;Receptor 801 sin posibilidad de enviarle stock
251-RCOCO.F;PRAIRIE M;0.0 productes de 845 a 806
251-RCOCO.F;PRAIRIE M;0.0 productes de 1782 a 806
251-RCOCO.F;PRAIRIE M;Receptor 806 sin posibilidad de enviarle stock
251-RCOCO.F;PRAIRIE M;0.0 productes de 845 a 869
251-RCOCO.F;PRAIRIE M;0.0 productes de 1782 a 869
251-RCOCO.F;PRAIRIE M;Receptor 869 sin posibilidad de enviarle stock
251-RCOCO.F;PRAIRIE M;0.0 productes de 845 a 805
251-RCOCO.F;PRAIRIE M;0.0 productes de 1782 a 805
251-RCOCO.F;PRAIRIE M;Receptor 805 sin posibilidad de enviarle stock
251-RCOCO.F;PRAIRIE M;0.0 productes de 845 a 2020
251-RCOCO.F;PRAIRIE M;0.0 productes de 1782 a 2020
251-RCOCO.F;PRAIRIE M;Receptor 2020 sin posibilidad de enviarle stock
251-RCOCO.F;PRAIRIE M;0.0 productes de 845 a 2094
251-RCOCO.F;PRAIRIE M;0.0 productes de 1782 a 2094
251-RCOCO.F;PRAIRIE M;Receptor 2094 sin posibilidad de enviarle stock
251-RCOCO.F;PRAIRIE M;0.0 productes de 845 a 840
251-RCOCO.F;PRAIRIE M;0.0 productes de 1782 a 840
251-RCOCO.F;PRAIRIE M;Receptor 840 sin posibilidad de enviarle stock
251-RCOCO.F;PRAIRIE M;0.0 productes de 845 a 857
251-RCOCO.F;PRAIRIE M;0.0 productes de 1782 a 857
251-RCOCO.F;PRAIRIE M;Receptor 857 sin posibilidad de enviarle stock
261-ROCHI;MARINE M;INICIO EVALUACIÓN
261-ROCHI;MARINE M;11 pares generados
261-ROCHI;MARINE M;5.0 productes de 801 a 806
261-ROCHI;MARINE M;Emisor 801 acceptat
261-ROCHI;MARINE M;0.0 productes de 801 a 840
261-ROCHI;MARINE M;Receptor 840 sin posibilidad de enviarle stock
261-ROCHI;MARINE M;0.0 productes de 801 a 803
261-ROCHI;MARINE M;Receptor 803 sin posibilidad de enviarle stock
261-ROCHI;MARINE M;0.0 productes de 801 a 832
261-ROCHI;MARINE M;Receptor 832 sin posibilidad de enviarle stock
261-ROCHI;MARINE M;0.0 productes de 801 a 805
261-ROCHI;MARINE M;Receptor 805 sin posibilidad de enviarle stock
261-ROCHI;MARINE M;0.0 productes de 801 a 869
261-ROCHI;MARINE M;Receptor 869 sin posibilidad de enviarle stock
261-ROCHI;MARINE M;0.0 productes de 801 a 857
261-ROCHI;MARINE M;Receptor 857 sin posibilidad de enviarle stock
261-ROCHI;MARINE M;0.0 productes de 801 a 2094
261-ROCHI;MARINE M;Receptor 2094 sin posibilidad de enviarle stock
261-ROCHI;MARINE M;0.0 productes de 801 a 845
261-ROCHI;MARINE M;Receptor 845 sin posibilidad de enviarle stock
261-ROCHI;MARINE M;0.0 productes de 801 a 2020
261-ROCHI;MARINE M;Receptor 2020 sin posibilidad de enviarle stock
261-ROCHI;MARINE M;0.0 productes de 801 a 1782
261-ROCHI;MARINE M;Receptor 1782 sin posibilidad de enviarle stock
251-DALIKA;OFF WHITE M;INICIO EVALUACIÓN
251-DALIKA;OFF WHITE M;27 pares generados
251-DALIKA;OFF WHITE M;5.0 productes de 2020 a 857
251-DALIKA;OFF WHITE M;Emisor 2020 acceptat
251-DALIKA;OFF WHITE M;5.0 productes de 840 a 857
251-DALIKA;OFF WHITE M;Emisor 840 acceptat
251-DALIKA;OFF WHITE M;3.0 productes de 805 a 857
251-DALIKA;OFF WHITE M;Emisor 805 acceptat
251-DALIKA;OFF WHITE M;0.0 productes de 840 a 801
251-DALIKA;OFF WHITE M;0.0 productes de 2020 a 801
251-DALIKA;OFF WHITE M;0.0 productes de 805 a 801
251-DALIKA;OFF WHITE M;Receptor 801 sin posibilidad de enviarle stock
251-DALIKA;OFF WHITE M;0.0 productes de 840 a 806
251-DALIKA;OFF WHITE M;0.0 productes de 2020 a 806
251-DALIKA;OFF WHITE M;0.0 productes de 805 a 806
251-DALIKA;OFF WHITE M;Receptor 806 sin posibilidad de enviarle stock
251-DALIKA;OFF WHITE M;0.0 productes de 840 a 832
251-DALIKA;OFF WHITE M;0.0 productes de 2020 a 832
251-DALIKA;OFF WHITE M;0.0 productes de 805 a 832
251-DALIKA;OFF WHITE M;Receptor 832 sin posibilidad de enviarle stock
251-DALIKA;OFF WHITE M;0.0 productes de 840 a 803
251-DALIKA;OFF WHITE M;0.0 productes de 2020 a 803
251-DALIKA;OFF WHITE M;0.0 productes de 805 a 803
251-DALIKA;OFF WHITE M;Receptor 803 sin posibilidad de enviarle stock
251-DALIKA;OFF WHITE M;0.0 productes de 840 a 845
251-DALIKA;OFF WHITE M;0.0 productes de 2020 a 845
251-DALIKA;OFF WHITE M;0.0 productes de 805 a 845
251-DALIKA;OFF WHITE M;Receptor 845 sin posibilidad de enviarle stock
251-DALIKA;OFF WHITE M;0.0 productes de 840 a 869
251-DALIKA;OFF WHITE M;0.0 productes de 2020 a 869
251-DALIKA;OFF WHITE M;0.0 productes de 805 a 869
251-DALIKA;OFF WHITE M;Receptor 869 sin posibilidad de enviarle stock
251-DALIKA;OFF WHITE M;0.0 productes de 840 a 1782
251-DALIKA;OFF WHITE M;0.0 productes de 2020 a 1782
251-DALIKA;OFF WHITE M;0.0 productes de 805 a 1782
251-DALIKA;OFF WHITE M;Receptor 1782 sin posibilidad de enviarle stock
251-DALIKA;OFF WHITE M;0.0 productes de 840 a 2094
251-DALIKA;OFF WHITE M;0.0 productes de 2020 a 2094
251-DALIKA;OFF WHITE M;0.0 productes de 805 a 2094
251-DALIKA;OFF WHITE M;Receptor 2094 sin posibilidad de enviarle stock
261-DBABY;NOIR M;INICIO EVALUACIÓN
261-DBABY;NOIR M;Producto estancado
261-RODIOL;NOIR/IVOIRE;INICIO EVALUACIÓN
261-RODIOL;NOIR/IVOIRE;11 pares generados
261-RODIOL;NOIR/IVOIRE;2.0 productes de 2020 a 832
261-RODIOL;NOIR/IVOIRE;Emisor 2020 acceptat
261-RODIOL;NOIR/IVOIRE;0.0 productes de 2020 a 801
261-RODIOL;NOIR/IVOIRE;Receptor 801 sin posibilidad de enviarle stock
261-RODIOL;NOIR/IVOIRE;0.0 productes de 2020 a 803
261-RODIOL;NOIR/IVOIRE;Receptor 803 sin posibilidad de enviarle stock
261-RODIOL;NOIR/IVOIRE;0.0 productes de 2020 a 806
261-RODIOL;NOIR/IVOIRE;Receptor 806 sin posibilidad de enviarle stock
261-RODIOL;NOIR/IVOIRE;0.0 productes de 2020 a 840
261-RODIOL;NOIR/IVOIRE;Receptor 840 sin posibilidad de enviarle stock
261-RODIOL;NOIR/IVOIRE;0.0 productes de 2020 a 857
261-RODIOL;NOIR/IVOIRE;Receptor 857 sin posibilidad de enviarle stock
261-RODIOL;NOIR/IVOIRE;0.0 productes de 2020 a 869
261-RODIOL;NOIR/IVOIRE;Receptor 869 sin posibilidad de enviarle stock
261-RODIOL;NOIR/IVOIRE;0.0 productes de 2020 a 805
261-RODIOL;NOIR/IVOIRE;Receptor 805 sin posibilidad de enviarle stock
261-RODIOL;NOIR/IVOIRE;0.0 productes de 2020 a 845
261-RODIOL;NOIR/IVOIRE;Receptor 845 sin posibilidad de enviarle stock
261-RODIOL;NOIR/IVOIRE;0.0 productes de 2020 a 1782
261-RODIOL;NOIR/IVOIRE;Receptor 1782 sin posibilidad de enviarle stock
261-RODIOL;NOIR/IVOIRE;0.0 productes de 2020 a 2094
261-RODIOL;NOIR/IVOIRE;Receptor 2094 sin posibilidad de enviarle stock
261-CALCI.F;OXYGENE M;INICIO EVALUACIÓN
261-CALCI.F;OXYGENE M;21 pares generados
261-CALCI.F;OXYGENE M;8.0 productes de 832 a 805
261-CALCI.F;OXYGENE M;Emisor 832 rebutjat. Supera cobertura máxima
261-CALCI.F;OXYGENE M;7.0 productes de 869 a 805
261-CALCI.F;OXYGENE M;Emisor 869 rebutjat. Supera cobertura máxima
261-CALCI.F;OXYGENE M;7.0 productes de 857 a 805
261-CALCI.F;OXYGENE M;Emisor 857 rebutjat. Supera cobertura máxima
261-CALCI.F;OXYGENE M;6.0 productes de 2094 a 805
261-CALCI.F;OXYGENE M;Emisor 2094 acceptat
261-CALCI.F;OXYGENE M;Cobertura máxima assolida per receptor 805
261-CALCI.F;OXYGENE M;8.0 productes de 832 a 2020
261-CALCI.F;OXYGENE M;Emisor 832 rebutjat. Supera cobertura máxima
261-CALCI.F;OXYGENE M;7.0 productes de 857 a 2020
261-CALCI.F;OXYGENE M;Emisor 857 rebutjat. Supera cobertura máxima
261-CALCI.F;OXYGENE M;7.0 productes de 869 a 2020
261-CALCI.F;OXYGENE M;Emisor 869 rebutjat. Supera cobertura máxima
261-CALCI.F;OXYGENE M;0.0 productes de 2094 a 2020
261-CALCI.F;OXYGENE M;5.0 productes de 806 a 2020
261-CALCI.F;OXYGENE M;Emisor 806 acceptat
261-CALCI.F;OXYGENE M;5.0 productes de 840 a 2020
261-CALCI.F;OXYGENE M;Emisor 840 rebutjat. Supera cobertura máxima
261-CALCI.F;OXYGENE M;1.0 productes de 845 a 2020
261-CALCI.F;OXYGENE M;Emisor 845 acceptat
261-CALCI.F;OXYGENE M;Cobertura máxima assolida per receptor 2020
261-CALCI.F;OXYGENE M;8.0 productes de 832 a 801
261-CALCI.F;OXYGENE M;Emisor 832 rebutjat. Supera cobertura máxima
261-CALCI.F;OXYGENE M;7.0 productes de 869 a 801
261-CALCI.F;OXYGENE M;Emisor 869 rebutjat. Supera cobertura máxima
261-CALCI.F;OXYGENE M;7.0 productes de 857 a 801
261-CALCI.F;OXYGENE M;Emisor 857 rebutjat. Supera cobertura máxima
261-CALCI.F;OXYGENE M;0.0 productes de 2094 a 801
261-CALCI.F;OXYGENE M;0.0 productes de 806 a 801
261-CALCI.F;OXYGENE M;5.0 productes de 840 a 801
261-CALCI.F;OXYGENE M;Emisor 840 rebutjat. Supera cobertura máxima
261-CALCI.F;OXYGENE M;0.0 productes de 845 a 801
261-CALCI.F;OXYGENE M;Receptor 801 sin posibilidad de enviarle stock
261-CUBA.F;MULTICO;INICIO EVALUACIÓN
261-CUBA.F;MULTICO;10 pares generados
261-CUBA.F;MULTICO;3.0 productes de 845 a 806
261-CUBA.F;MULTICO;Emisor 845 acceptat
261-CUBA.F;MULTICO;0.0 productes de 845 a 2094
261-CUBA.F;MULTICO;Receptor 2094 sin posibilidad de enviarle stock
261-CUBA.F;MULTICO;0.0 productes de 845 a 857
261-CUBA.F;MULTICO;Receptor 857 sin posibilidad de enviarle stock
261-CUBA.F;MULTICO;0.0 productes de 845 a 2020
261-CUBA.F;MULTICO;Receptor 2020 sin posibilidad de enviarle stock
261-CUBA.F;MULTICO;0.0 productes de 845 a 805
261-CUBA.F;MULTICO;Receptor 805 sin posibilidad de enviarle stock
261-CUBA.F;MULTICO;0.0 productes de 845 a 1782
261-CUBA.F;MULTICO;Receptor 1782 sin posibilidad de enviarle stock
261-CUBA.F;MULTICO;0.0 productes de 845 a 801
261-CUBA.F;MULTICO;Receptor 801 sin posibilidad de enviarle stock
261-CUBA.F;MULTICO;0.0 productes de 845 a 869
261-CUBA.F;MULTICO;Receptor 869 sin posibilidad de enviarle stock
261-CUBA.F;MULTICO;0.0 productes de 845 a 840
261-CUBA.F;MULTICO;Receptor 840 sin posibilidad de enviarle stock
261-CUBA.F;MULTICO;0.0 productes de 845 a 803
261-CUBA.F;MULTICO;Receptor 803 sin posibilidad de enviarle stock
251-DIDOA;IVOIRE M;INICIO EVALUACIÓN
251-DIDOA;IVOIRE M;32 pares generados
251-DIDOA;IVOIRE M;8.0 productes de 805 a 869
251-DIDOA;IVOIRE M;Emisor 805 acceptat
251-DIDOA;IVOIRE M;8.0 productes de 840 a 869
251-DIDOA;IVOIRE M;Emisor 840 rebutjat. Supera cobertura máxima
251-DIDOA;IVOIRE M;3.0 productes de 1782 a 869
251-DIDOA;IVOIRE M;Emisor 1782 acceptat
251-DIDOA;IVOIRE M;3.0 productes de 2020 a 869
251-DIDOA;IVOIRE M;Emisor 2020 acceptat
251-DIDOA;IVOIRE M;Cobertura máxima assolida per receptor 869
251-DIDOA;IVOIRE M;0.0 productes de 805 a 801
251-DIDOA;IVOIRE M;8.0 productes de 840 a 801
251-DIDOA;IVOIRE M;Emisor 840 acceptat
251-DIDOA;IVOIRE M;0.0 productes de 1782 a 801
251-DIDOA;IVOIRE M;0.0 productes de 2020 a 801
251-DIDOA;IVOIRE M;0.0 productes de 805 a 832
251-DIDOA;IVOIRE M;0.0 productes de 840 a 832
251-DIDOA;IVOIRE M;0.0 productes de 1782 a 832
251-DIDOA;IVOIRE M;0.0 productes de 2020 a 832
251-DIDOA;IVOIRE M;Receptor 832 sin posibilidad de enviarle stock
251-DIDOA;IVOIRE M;0.0 productes de 805 a 806
251-DIDOA;IVOIRE M;0.0 productes de 840 a 806
251-DIDOA;IVOIRE M;0.0 productes de 1782 a 806
251-DIDOA;IVOIRE M;0.0 productes de 2020 a 806
251-DIDOA;IVOIRE M;Receptor 806 sin posibilidad de enviarle stock
251-DIDOA;IVOIRE M;0.0 productes de 840 a 2094
251-DIDOA;IVOIRE M;0.0 productes de 805 a 2094
251-DIDOA;IVOIRE M;0.0 productes de 1782 a 2094
251-DIDOA;IVOIRE M;0.0 productes de 2020 a 2094
251-DIDOA;IVOIRE M;Receptor 2094 sin posibilidad de enviarle stock
251-DIDOA;IVOIRE M;0.0 productes de 805 a 803
251-DIDOA;IVOIRE M;0.0 productes de 840 a 803
