TEMPORADA;COLLECTION;FAMILIA;CODEPRODUIT;CODECOLORIS;NOMPRODUIT;LIBCOLORISMODIFIE;EAN;SEMANAS_IMPLANTACION;CANTIDAD_VENDIDA;SEMANAS_COBERTURA;CANTIDAD_DISPONIBLE_CENTROS;CANTIDAD_DISPONIBLE_ALMACENES
E26;ESSENTIELS;T-shirt;1102626;1213;252-DAROD;PRAIRIE M;3253634680217;8;65;5;309;96
E26;ESSENTIELS;T-shirt;1102626;1213;252-DAROD;PRAIRIE M;3253634680224;8;65;5;309;96
E26;ESSENTIELS;T-shirt;1102626;1213;252-DAROD;PRAIRIE M;3253634680231;8;65;5;309;96
E26;ESSENTIELS;T-shirt;1102626;1213;252-DAROD;PRAIRIE M;3253634680248;8;65;5;309;96
E26;MODE;Pull;1104890;992;261-MRAYNA;OXYGENE M;3253634640280;15;19;5;100;0
E26;ESSENTIELS;Robe/ combinaison;1105811;929;261-RODIOL;NOIR/IVOIRE;3253634690919;8;93;4;284;129
E26;ESSENTIELS;T-shirt;93923;1199;231-DATE;SWEET DREAMS;3253634679969;9;33;9;267;89
E26;ESSENTIELS;Robe/ combinaison;1105824;979;261-PBELLE;NOIR M;3253634691565;9;32;7;230;0
E26;ESSENTIELS;T-shirt;1106920;931;261-DOMIO;OFF WHITE M;3253634762524;6;39;8;270;36
E26;ESSENTIELS;T-shirt;1106920;931;261-DOMIO;OFF WHITE M;3253634762586;6;39;8;270;36
E26;ESSENTIELS;T-shirt;1106920;931;261-DOMIO;OFF WHITE M;3253634762593;6;39;8;270;36
E26;ESSENTIELS;T-shirt;1106920;931;261-DOMIO;OFF WHITE M;3253634762609;6;39;8;270;36
E26;ESSENTIELS;T-shirt;1106920;931;261-DOMIO;OFF WHITE M;3253634762616;6;39;8;270;36
E26;ESSENTIELS;Robe/ combinaison;1105800;1023;261-RPLISSY;MAGMA M;3253634690384;9;27;11;274;105
E26;ESSENTIELS;Robe/ combinaison;1105821;1213;261-RDOLSOU;PRAIRIE M;3253634691428;9;68;5;315;235
E26;MODE;Haut boutonné;1105789;1144;261-CAYEL;PALE BANANA;3253634689821;8;26;8;206;0
E26;MODE;Haut boutonné;1105789;1144;261-CAYEL;PALE BANANA;3253634688145;8;26;8;206;0
E26;MODE;Robe/ combinaison;1105826;1118;261-RBRUM;EPICE M;3253634691640;8;31;6;155;16
E26;ESSENTIELS;Haut boutonné;1104522;900;261-CRISTA;MULTICO;3253634611853;24;27;6;175;0
E26;ESSENTIELS;Haut boutonné;1104522;900;261-CRISTA;MULTICO;3253634611860;24;27;6;175;0
E26;ESSENTIELS;Haut boutonné;1104522;900;261-CRISTA;MULTICO;3253634611877;24;27;6;175;0
E26;ESSENTIELS;Haut boutonné;1104522;900;261-CRISTA;MULTICO;3253634611884;24;27;6;175;0
E26;ESSENTIELS;Haut boutonné;1104522;900;261-CRISTA;MULTICO;3253634611891;24;27;6;175;0
E26;ESSENTIELS;Haut boutonné;1104522;900;261-CRISTA;MULTICO;3253634611907;24;27;6;175;0
E26;MODE;Robe/ combinaison;1104523;994;261-REXAS;DENIM BRUT;3253634611914;21;19;11;203;0
E26;MODE;Robe/ combinaison;1104523;994;261-REXAS;DENIM BRUT;3253634611921;21;19;11;203;0
E26;MODE;Robe/ combinaison;1104523;994;261-REXAS;DENIM BRUT;3253634611938;21;19;11;203;0
E26;MODE;Robe/ combinaison;1104523;994;261-REXAS;DENIM BRUT;3253634611945;21;19;11;203;0
E26;MODE;Robe/ combinaison;1104523;994;261-REXAS;DENIM BRUT;3253634611952;21;19;11;203;0
E26;MODE;Robe/ combinaison;1104523;994;261-REXAS;DENIM BRUT;3253634611969;21;19;11;203;0
E26;ESSENTIELS;Haut boutonné;100938;979;251-CJANA.F;NOIR M;3253634612515;27;25;8;196;0
E26;ESSENTIELS;Haut boutonné;100938;979;251-CJANA.F;NOIR M;3253634612522;27;25;8;196;0
E26;ESSENTIELS;Haut boutonné;100938;979;251-CJANA.F;NOIR M;3253634612539;27;25;8;196;0
E26;ESSENTIELS;Haut boutonné;100938;979;251-CJANA.F;NOIR M;3253634612546;27;25;8;196;0
E26;ESSENTIELS;Haut boutonné;100938;979;251-CJANA.F;NOIR M;3253634612553;27;25;8;196;0
E26;ESSENTIELS;Haut boutonné;100938;979;251-CJANA.F;NOIR M;3253634612560;27;25;8;196;0
E26;MODE;Robe / Tricot;1104872;1191;261-RMARIUS;BUTTER M;3253634638485;5;33;7;201;0
E26;MODE;Robe/ combinaison;1105805;900;261-RSOAN;MULTICO;3253634690599;9;27;9;195;0
E26;MODE;Robe / Tricot;1104872;1191;261-RMARIUS;BUTTER M;3253634638447;5;33;7;201;0
E26;MODE;Robe / Tricot;1104872;1191;261-RMARIUS;BUTTER M;3253634638454;5;33;7;201;0
E26;MODE;Robe / Tricot;1104872;1191;261-RMARIUS;BUTTER M;3253634638461;5;33;7;201;0
E26;MODE;Robe / Tricot;1104872;1191;261-RMARIUS;BUTTER M;3253634638478;5;33;7;201;0
E26;MODE;Pantalon;1105739;979;261-POPA;NOIR M;3253634685021;8;99;2;149;0
E26;MODE;T-shirt;1105677;926;261-DNAVY;MARINE/OFF WHITE;3253634679884;8;36;9;303;0
E26;MODE;Robe/ combinaison;1105806;1144;261-RAYEE;PALE BANANA;3253634690650;8;40;7;242;0
E26;ESSENTIELS;Robe/ combinaison;1102222;1204;251-REINE1;MYRTILLE M;3253634689395;8;31;8;221;0
E26;ESSENTIELS;Robe/ combinaison;1102222;1204;251-REINE1;MYRTILLE M;3253634688619;8;31;8;221;0
E26;MODE;Pull;1105699;929;261-MLOSI;NOIR/IVOIRE;3253634682440;8;43;6;227;130
E26;MODE;T-shirt;1105837;1144;261-DANANA;PALE BANANA;3253634693019;5;25;11;250;172
E26;MODE;T-shirt;1105834;931;261-DJOJO;OFF WHITE M;3253634692883;4;51;7;288;146
E26;MODE;Pull;1104883;1152;261-MLEXI;BLUE DEPTHS;3253634639611;17;12;9;108;0
E26;MODE;Pull;1104883;1152;261-MLEXI;BLUE DEPTHS;3253634639635;17;12;9;108;0
E26;MODE;Pull;1104883;1152;261-MLEXI;BLUE DEPTHS;3253634639642;17;12;9;108;0
E26;MODE;Pull;1104883;1152;261-MLEXI;BLUE DEPTHS;3253634639659;17;12;9;108;0
E26;MODE;Robe/ combinaison;1106511;927;261-RPAULA;NOIR/OFF WHITE;3253634732855;14;16;11;169;1
E26;MODE;Robe/ combinaison;1106511;927;261-RPAULA;NOIR/OFF WHITE;3253634732862;14;16;11;169;1
E26;MODE;Robe/ combinaison;1106511;927;261-RPAULA;NOIR/OFF WHITE;3253634732879;14;16;11;169;1
E26;MODE;Robe/ combinaison;1106511;927;261-RPAULA;NOIR/OFF WHITE;3253634732886;14;16;11;169;1
E26;MODE;Robe/ combinaison;1106511;927;261-RPAULA;NOIR/OFF WHITE;3253634732893;14;16;11;169;1
E26;MODE;Robe/ combinaison;1106511;927;261-RPAULA;NOIR/OFF WHITE;3253634732909;14;16;11;169;1
E26;MODE;T-shirt;1104424;931;261-DIMOI;OFF WHITE M;3253634609041;26;18;6;115;0
E26;MODE;Pull;1104890;992;261-MRAYNA;OXYGENE M;3253634640273;15;19;5;100;0
E26;MODE;Pull;1104890;992;261-MRAYNA;OXYGENE M;3253634640297;15;19;5;100;0
E26;MODE;Pull;1104890;992;261-MRAYNA;OXYGENE M;3253634640303;15;19;5;100;0
E26;MODE;Pull;1104890;992;261-MRAYNA;OXYGENE M;3253634640310;15;19;5;100;0
E26;MODE;Pull;1104893;1191;261-MIKA;BUTTER M;3253634640655;14;12;11;136;0
E26;MODE;Pull;1104893;1191;261-MIKA;BUTTER M;3253634640662;14;12;11;136;0
E26;MODE;Pull;1104893;1191;261-MIKA;BUTTER M;3253634640679;14;12;11;136;0
E26;MODE;Pull;1104893;1191;261-MIKA;BUTTER M;3253634640686;14;12;11;136;0
E26;MODE;T-shirt;1105706;1191;261-DEFI;BUTTER M;3253634692326;7;37;9;293;0
E26;MODE;T-shirt;1105834;931;261-DJOJO;OFF WHITE M;3253634692388;4;51;7;288;146
E26;ESSENTIELS;T-shirt;1102614;1200;252-DFLOWER;NAVAL ACADEMY;3253634692425;8;37;10;353;263
E26;ESSENTIELS;T-shirt;1102198;1166;251-DALBA;BUBBLE M;3253634692432;9;37;7;246;0
E26;MODE;T-shirt;1105837;1144;261-DANANA;PALE BANANA;3253634692449;5;25;11;250;172
E26;MODE;T-shirt;1105840;931;261-DPALM;OFF WHITE M;3253634692470;3;32;7;195;36
E26;ESSENTIELS;T-shirt;1105842;1023;261-DAMA;MAGMA M;3253634692500;12;38;9;318;143
E26;ESSENTIELS;T-shirt;1102198;1166;251-DALBA;BUBBLE M;3253634692531;9;37;7;246;0
E26;ESSENTIELS;T-shirt;1102198;1166;251-DALBA;BUBBLE M;3253634692548;9;37;7;246;0
E26;ESSENTIELS;T-shirt;1102198;1166;251-DALBA;BUBBLE M;3253634692555;9;37;7;246;0
E26;ESSENTIELS;T-shirt;1102198;1166;251-DALBA;BUBBLE M;3253634692562;9;37;7;246;0
E26;ESSENTIELS;T-shirt;1102614;1200;252-DFLOWER;NAVAL ACADEMY;3253634692579;8;37;10;353;263
E26;ESSENTIELS;T-shirt;1102614;1200;252-DFLOWER;NAVAL ACADEMY;3253634692586;8;37;10;353;263
E26;ESSENTIELS;T-shirt;1102614;1200;252-DFLOWER;NAVAL ACADEMY;3253634692593;8;37;10;353;263
E26;ESSENTIELS;T-shirt;1102614;1200;252-DFLOWER;NAVAL ACADEMY;3253634692609;8;37;10;353;263
E26;MODE;T-shirt;1105706;1191;261-DEFI;BUTTER M;3253634692623;7;37;9;293;0
E26;MODE;T-shirt;1105706;1191;261-DEFI;BUTTER M;3253634692630;7;37;9;293;0
E26;MODE;T-shirt;1105706;1191;261-DEFI;BUTTER M;3253634692647;7;37;9;293;0
E26;MODE;T-shirt;1105834;931;261-DJOJO;OFF WHITE M;3253634692852;4;51;7;288;146
E26;MODE;T-shirt;1105834;931;261-DJOJO;OFF WHITE M;3253634692869;4;51;7;288;146
E26;MODE;T-shirt;1105834;931;261-DJOJO;OFF WHITE M;3253634692876;4;51;7;288;146
E26;MODE;T-shirt;1105837;1144;261-DANANA;PALE BANANA;3253634693026;5;25;11;250;172
E26;MODE;T-shirt;1105837;1144;261-DANANA;PALE BANANA;3253634693033;5;25;11;250;172
E26;MODE;T-shirt;1105837;1144;261-DANANA;PALE BANANA;3253634693040;5;25;11;250;172
E26;MODE;T-shirt;1105840;931;261-DPALM;OFF WHITE M;3253634693132;3;32;7;195;36
E26;MODE;T-shirt;1105840;931;261-DPALM;OFF WHITE M;3253634693149;3;32;7;195;36
E26;MODE;T-shirt;1105840;931;261-DPALM;OFF WHITE M;3253634693156;3;32;7;195;36
E26;MODE;T-shirt;1105840;931;261-DPALM;OFF WHITE M;3253634693163;3;32;7;195;36
E26;MODE;Pull;1104883;1152;261-MLEXI;BLUE DEPTHS;3253634639628;17;12;9;108;0
E26;ESSENTIELS;T-shirt;1106738;923;261-DIMITRI;MARINE/IVOIRE;3253634752945;10;26;9;210;65
E26;MODE;T-shirt;1106739;1204;261-DCIAO;MYRTILLE M;3253634752952;6;23;5;114;0
E26;ESSENTIELS;T-shirt;1106738;923;261-DIMITRI;MARINE/IVOIRE;3253634753003;10;26;9;210;65
E26;ESSENTIELS;T-shirt;1106738;923;261-DIMITRI;MARINE/IVOIRE;3253634753010;10;26;9;210;65
E26;ESSENTIELS;T-shirt;1106738;923;261-DIMITRI;MARINE/IVOIRE;3253634753027;10;26;9;210;65
E26;ESSENTIELS;T-shirt;1106738;923;261-DIMITRI;MARINE/IVOIRE;3253634753034;10;26;9;210;65
E26;MODE;T-shirt;1106739;1204;261-DCIAO;MYRTILLE M;3253634753041;6;23;5;114;0
E26;MODE;T-shirt;1106739;1204;261-DCIAO;MYRTILLE M;3253634753058;6;23;5;114;0
E26;MODE;T-shirt;1106739;1204;261-DCIAO;MYRTILLE M;3253634753065;6;23;5;114;0
E26;MODE;T-shirt;1106739;1204;261-DCIAO;MYRTILLE M;3253634753072;6;23;5;114;0
E26;ESSENTIELS;Pull;1104897;928;261-MTOIRI;IVOIRE/NOIR;3253634641140;21;21;8;174;0
E26;ESSENTIELS;Pull;1104897;928;261-MTOIRI;IVOIRE/NOIR;3253634641157;21;21;8;174;0
E26;ESSENTIELS;Pull;1104897;928;261-MTOIRI;IVOIRE/NOIR;3253634641164;21;21;8;174;0
E26;ESSENTIELS;Pull;1104897;928;261-MTOIRI;IVOIRE/NOIR;3253634641171;21;21;8;174;0
E26;ESSENTIELS;Pull;1104897;928;261-MTOIRI;IVOIRE/NOIR;3253634641188;21;21;8;174;0
E26;ESSENTIELS;T-shirt;1105842;1023;261-DAMA;MAGMA M;3253634693217;12;38;9;318;143
E26;ESSENTIELS;T-shirt;1105842;1023;261-DAMA;MAGMA M;3253634693224;12;38;9;318;143
E26;ESSENTIELS;T-shirt;1105842;1023;261-DAMA;MAGMA M;3253634693231;12;38;9;318;143
E26;ESSENTIELS;T-shirt;1105842;1023;261-DAMA;MAGMA M;3253634693248;12;38;9;318;143
E26;MODE;Pantalon;1105730;1204;261-PCAPI.F;MYRTILLE M;3253634683508;3;19;9;157;190
E26;MODE;Pull;1104893;1191;261-MIKA;BUTTER M;3253634640648;14;12;11;136;0
E26;ESSENTIELS;T-shirt;1107198;979;261-DOOTHY;NOIR M;3253634779812;6;46;6;206;1
E26;ESSENTIELS;T-shirt;1107198;979;261-DOOTHY;NOIR M;3253634779829;6;46;6;206;1
E26;ESSENTIELS;T-shirt;1107198;979;261-DOOTHY;NOIR M;3253634779836;6;46;6;206;1
E26;ESSENTIELS;T-shirt;1107198;979;261-DOOTHY;NOIR M;3253634779843;6;46;6;206;1
E26;ESSENTIELS;T-shirt;1107198;979;261-DOOTHY;NOIR M;3253634779850;6;46;6;206;1
E26;MODE;T-shirt;1105834;979;261-DJOJO;NOIR M;3253634735436;18;18;9;163;0
E26;MODE;T-shirt;1105834;979;261-DJOJO;NOIR M;3253634735443;18;18;9;163;0
E26;MODE;T-shirt;1105834;979;261-DJOJO;NOIR M;3253634735450;18;18;9;163;0
E26;MODE;T-shirt;1105834;979;261-DJOJO;NOIR M;3253634735467;18;18;9;163;0
E26;MODE;T-shirt;1105834;979;261-DJOJO;NOIR M;3253634735474;18;18;9;163;0
E26;MODE;Pantalon;1105745;931;261-SHORY.F;OFF WHITE M;3253634685281;6;23;11;258;8
E26;MODE;Pantalon;1105741;979;261-SHOSA;NOIR M;3253634685120;4;26;9;149;233
E26;MODE;T-shirt;1105706;1191;261-DEFI;BUTTER M;3253634692616;7;37;9;293;0
E26;ESSENTIELS;T-shirt;1106896;979;261-DARIA;NOIR M;3253634761244;6;26;9;212;0
E26;MODE;Robe/ combinaison;1105804;979;261-RELOW;NOIR M;3253634690582;7;55;4;206;58
E26;MODE;Haut boutonné;1105814;900;261-CUBA.F;MULTICO;3253634691046;5;38;7;205;17
E26;MODE;Pantalon;1105734;900;261-PCUBA.F;MULTICO;3253634683546;5;41;8;235;0
E26;ESSENTIELS;Pull;101264;1144;251-MBATSI;PALE BANANA;3253634617213;18;12;8;97;0
E26;MODE;Pantalon;1105734;900;261-PCUBA.F;MULTICO;3253634684734;5;41;8;235;0
